FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
.466,.500,.287,.489,.829,.535,.257,.160,101,95,80,92,107,95,99,42,-43.4,-36.1
.200,.154,.235,.267,.500,.298,.267,.567,43,29,66,50,65,53,102,148,-15.7,-17.9
.682,.682,,.682,.500,.652,.818,.000,148,130,,129,65,115,314,,6.7,5.2
.250,.250,,.250,.667,.452,1.500,.000,54,48,,47,86,80,577,,-2.2,-1.5
.778,.778,,.778,.417,.709,.667,.000,169,148,,147,54,126,256,,9.0,6.7
.444,.333,.667,.556,1.000,.607,.222,.333,97,64,186,105,129,108,85,87,.5,.8
.434,.485,.398,.550,.819,.581,.206,.580,94,93,111,104,106,103,79,151,37.0,32.1
.444,.556,.355,.543,.865,.626,.528,.557,96,106,99,103,112,111,203,145,41.7,227.5
.502,.584,.347,.562,.591,.572,.233,.346,109,111,97,106,76,101,90,90,18.7,4.6
.516,.590,.370,.578,.571,.584,.194,.336,112,113,103,109,74,103,74,88,21.5,9.0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
.455,.561,.280,.508,.625,.535,.364,.379,99,107,78,96,81,95,140,99,-2.8,-4.5
.250,.500,.000,.250,,.250,.000,.500,54,95,,47,,44,,130,-2.2,-2.5
.580,.593,.000,.580,.658,.607,.432,.022,126,113,,110,85,107,166,6,83.2,81.5
.420,.479,.333,.487,.815,.519,.177,.405,91,91,93,92,105,92,68,105,-42.9,-50.9
.486,.553,.424,.596,.719,.606,.114,.518,106,106,118,113,93,107,44,135,104.8,68.3
.467,.496,.381,.515,.780,.559,.303,.255,101,95,106,97,101,99,116,66,-4.5,-2.2
.471,.517,.367,.527,.806,.556,.184,.304,102,99,103,100,104,99,71,79,-3.6,-21.2
.657,.710,.000,.657,.679,.674,.418,.075,143,135,,124,88,119,161,19,17.1,17.4
.423,.584,.342,.537,.739,.563,.216,.665,92,112,95,101,96,100,83,173,8.3,-2.0
.364,.375,.333,.409,.750,.470,.364,.273,79,72,93,77,97,83,140,71,-2.6,-2.4
.672,.678,.250,.674,.647,.689,.734,.015,146,130,70,127,84,122,282,4,75.1,85.1
