Rk,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
211,-0.6,3.8,9,4,9,1,4,1,27,1,2
212,26.3,19.8,1,1,1,1,2,0,8,1,5
213,-3.8,-3.1,16,6,28,7,35,11,94,7,15
213,0.4,-2.0,9,3,16,4,14,6,50,3,6
213,-7.9,-3.8,7,3,12,3,21,5,44,4,9
214,-4.4,3.1,11,7,18,7,22,2,71,3,9
215,-1.9,-8.4,43,24,36,6,36,5,295,5,23
216,-32.4,-34.7,0,0,2,0,0,0,10,0,0
217,-8.8,-10.5,19,10,49,7,28,7,124,5,18
218,-2.8,-2.0,69,67,60,14,46,4,496,9,44
219,11.8,2.7,30,14,42,4,29,19,434,4,20
220,-2.6,-4.3,32,8,43,7,21,7,250,3,9
220,-2.3,-2.1,24,6,38,7,14,7,222,1,6
220,-4.0,-7.3,8,2,5,0,7,0,28,2,3
221,3.6,4.7,1,1,5,1,7,1,9,3,4
222,3.5,2.3,56,13,56,5,36,29,534,9,27
223,0.8,5.4,116,44,56,10,81,25,994,24,59
224,1.7,-1.4,22,12,77,4,24,20,222,5,24
225,4.5,-3.1,26,20,45,7,69,17,277,15,27
226,1.1,5.0,14,11,74,18,55,2,97,10,15
227,1.1,2.4,8,4,16,2,15,7,84,3,4
228,2.8,1.1,47,10,88,13,29,0,637,8,24
229,-9.6,-15.8,4,1,6,0,2,0,13,0,1
230,3.2,0.4,28,10,68,6,41,21,210,8,19
231,6.6,1.2,18,17,103,35,92,2,105,23,14
232,-53.0,-56.2,0,1,1,0,0,0,3,0,0
233,-6.9,2.3,56,16,61,7,26,4,511,6,18
234,-6.2,4.7,37,34,81,16,67,18,278,14,54
235,-12.6,-11.2,17,3,30,3,39,10,64,9,16
236,3.8,-5.0,24,32,69,31,59,0,197,18,22
237,-0.5,-3.9,15,5,21,4,7,4,125,2,1
238,5.4,-6.4,20,4,51,5,34,17,122,7,13
239,5.1,7.3,88,21,37,25,29,14,884,5,21
240,-1.4,0.0,74,51,72,35,173,18,631,45,52
241,-0.3,0.5,30,16,16,2,37,6,310,7,16
242,1.2,3.1,19,15,44,7,37,6,120,10,10
243,1.5,3.5,9,9,33,3,44,1,147,6,16
244,-3.5,-2.8,16,8,35,12,31,6,152,9,18
245,-3.0,-4.3,21,21,116,36,81,13,185,17,64
246,4.0,5.3,19,2,21,4,21,8,78,5,11
247,1.4,-4.9,8,2,37,2,19,2,130,3,15
248,7.0,6.1,30,11,22,5,17,6,296,9,17
248,4.8,10.1,16,5,8,0,9,3,165,6,9
248,9.2,3.0,14,6,14,5,8,3,131,3,8
249,-2.8,-0.7,4,2,10,0,8,3,42,1,3
250,9.0,9.9,165,50,33,28,184,19,1602,68,59
251,8.1,9.3,1,0,3,1,6,0,10,0,1
252,1.4,3.7,1,1,8,0,3,2,17,0,1
253,-12.8,-14.5,14,0,12,1,3,4,110,0,9
254,13.1,11.2,1,3,6,0,4,0,16,2,6
255,-5.1,-4.1,1,4,2,1,3,1,7,0,1
256,0.0,-0.6,13,8,45,1,22,15,173,9,15
257,-6.0,-5.9,22,11,38,7,26,1,185,6,13
257,2.5,-0.4,4,2,11,4,8,1,53,2,7
257,-12.4,-8.8,18,9,27,3,18,0,132,4,6
258,10.7,13.1,1,6,12,2,20,0,37,4,5
259,5.4,-1.3,6,3,7,2,7,1,51,2,5
260,-5.4,-6.0,16,7,26,2,20,9,184,0,16
260,-7.8,-9.6,12,6,18,2,13,7,123,0,12
260,0.7,1.4,4,1,8,0,7,2,61,0,4
261,4.4,6.2,135,54,98,20,107,19,1171,26,32
262,-14.0,-8.3,4,4,84,10,38,4,82,5,25
263,1.3,-2.6,7,10,69,3,55,20,155,14,14
264,-1.8,-1.7,39,7,19,3,16,8,689,1,25
265,-1.3,-1.0,40,11,58,14,49,6,245,18,19
266,0.2,4.7,53,20,73,3,27,41,614,6,13
267,0.9,-5.7,1,1,8,0,2,0,5,1,4
268,-0.7,-1.4,12,9,42,5,41,7,182,9,19
269,9.6,4.3,15,11,60,14,44,1,133,12,36
270,-2.8,1.8,21,12,26,6,22,4,272,3,13
271,-0.2,-2.5,0,0,3,0,0,0,2,0,2
272,4.8,5.6,5,4,17,1,6,1,37,2,5
272,10.2,18.2,1,2,6,0,3,1,26,1,4
272,-1.9,-7.0,4,2,11,1,3,0,11,1,1
273,11.3,15.8,1,0,4,1,2,0,12,1,1
274,3.4,-3.1,17,15,103,15,42,12,215,14,14
275,-8.9,-3.1,20,11,13,4,5,4,175,1,8
275,-11.2,-3.4,6,5,7,2,2,1,80,1,3
275,-6.3,-2.3,14,6,6,2,3,3,95,0,5
276,-8.0,-2.6,15,14,56,10,47,2,145,5,21
277,7.3,8.5,5,1,7,0,2,0,54,2,2
278,2.0,-0.6,26,11,46,5,39,13,187,7,8
279,-5.0,-2.0,6,2,35,4,13,3,75,2,6
280,5.6,-6.1,26,7,41,7,9,8,155,2,5
281,-2.0,-1.7,19,13,37,6,12,7,131,2,14
282,5.7,-0.2,36,21,73,17,77,10,194,18,22
283,1.7,3.1,8,7,45,10,13,3,102,1,7
284,-0.3,-4.0,27,11,44,8,51,20,223,9,16
285,10.6,4.6,4,5,19,1,9,10,32,0,11
286,-5.0,-5.0,96,59,63,20,143,7,609,33,86
287,-7.0,-6.1,1,0,4,1,1,1,8,0,1
288,1.5,7.3,10,3,21,4,17,4,34,6,4
289,1.5,-0.9,2,5,12,0,6,2,23,2,7
290,-25.2,-25.9,0,0,1,1,1,2,4,0,0
291,7.5,2.9,6,2,14,0,3,0,32,1,0
292,-4.2,8.6,38,10,46,7,44,21,316,10,21
293,-5.9,-1.1,12,16,76,17,51,1,125,9,21
293,-8.8,-1.1,9,13,57,11,39,1,103,7,18
293,3.7,6.3,3,3,19,6,12,0,22,2,3
294,12.0,11.5,59,42,37,24,167,7,684,45,40
295,4.4,2.1,17,6,67,9,15,7,135,8,10
296,0.1,1.2,58,33,35,8,90,12,480,27,41
297,1.7,8.7,134,38,51,9,166,23,1266,41,85
298,-3.1,-2.5,8,2,47,3,20,2,55,6,12
299,-18.2,-10.3,4,1,15,5,9,0,47,6,6
300,12.4,4.9,24,7,106,21,77,3,249,17,22
301,2.7,-10.0,10,12,55,25,23,5,114,7,9
302,-8.8,-1.8,88,28,53,7,81,14,415,10,29
303,6.5,-0.5,112,32,81,17,119,52,997,21,46
304,-1.7,-1.4,16,13,43,7,34,7,67,5,24
305,-2.0,-1.3,27,6,60,3,22,3,158,6,17
306,5.6,2.7,0,1,0,0,0,0,2,0,0
307,300.0,308.1,0,0,0,0,0,0,0,0,0
308,-1.1,-0.1,5,0,0,0,0,1,12,0,0
309,-4.7,-0.2,11,13,60,11,53,9,113,15,21
310,-9.3,-6.8,22,10,64,8,47,3,107,10,13
311,1.3,-5.8,12,2,18,3,14,2,135,3,7
312,6.0,1.3,10,9,23,8,29,1,44,9,15
313,-3.0,0.7,36,26,56,11,67,8,181,10,39
314,-0.2,7.7,9,2,15,1,10,8,56,1,3
